query_id,answer
70DfDUpwjxB4lzFd,255fbeaf526a1cc1 d722bcda1a555091 2d73dacac243ce62 4494aa11cbdc2d65 6042fecdd7753112 603623b4bd9e8f6c b92ee8f432cec2d1 bbfd9a8c71d3bd2b deb58d7ad8c27d06 14d535285758af89 9515d1e1ecdac72c 355392014208b7bf 75368254f36b2c3f fa4ba2c2cf71b0b1 f4e8903d7689e222 fa01652ca5f57d0f 6fc4db453f873556 e08f4ce94c268cef a1df0525799ab4b5 936c0eb79b64074d d4ebb123b83921c3 d7ad9f91504e4d02 bee602308dd4d4b3 66860b3fd69e8056 a1f89a5af43b9a19 82ddaf2c54ef884a 4332513c8fe7e1c9 94c5ec723ea5418f 33f8d361a92bdcde 67a46949b04287b7 8982e6630adf5c35 73ba3172bc67d2dd cf0b70d14b674f8b 66fcfff959aef409 6047e1566a959d3a 95571e85156ba0fe 978da52beacf3b49 e5a240b2eaca4e11 c04be97528001251 414b206a6ab83aff d01e14d2ffd4ddba 3b5ada3ffcacbbf3 3c78f04fa51ec6b5 acc6e16fea8628b0 6dfa83ed47d5bd10 c686049bbee00d80 4f96718256e225e4 616137eeb40fbedc 198c47117b3869da c43e7b75ac1d8fa0
JTrdTaZJvSiLPkXj,8703b2a0442c5d25 16ea26ff0aa0450a 4a435cc0a254c1fd 413f6384e3c07b64 367af128a9ea2a48 422d3ffdd5bbf626 cbeccbecb1fb8d86 1c6d2079e07f4497 57e4e6a29340c866 bafe6304f743b5fb 1d316731254b8df9 acf02e654ba15a6f 01fbbfc288257fca 664665688c35c1d0 8879ea7cdf926eb4 523030d8a853e7c4 3e0833adb1f35664 924eeb5f60acf384 5fb8205a8c106545 cf7cf3f80dbeeb5a 3a5fcb870e078d7e a799e455c749d7b6 f50963ef7dda3d19 e08d374366a8ebfb 22fcfaa386f58ecc cadb904468479c51 f7cc9b020140b225 689e3ed148bca9b5 9a9aabc6565220f6 0f7b573ac008ea9f 1440ffbe4863b68d aba630c0ae03bc91 d297d1ddff22476b 47b2ed1012de011a df2bcbda3d2828a9 f46f68aaa4d7de38 1344796085e92421 dfa239d031b11832 8f74ccd5549146c6 58616767e88c583f 6202d00a301510ae 19165fefac3dce47 7e18adf210484046 0529307cdfbe4a15 efde386fb8c4f385 26645f170bf01503 2f09017b0819844e 1cc96086d662cffc e9cebe597677e8c6 88931c4cd463d124
LZCZNoVG4AFUkVRJ,dab52187b4500d9b 3f89b8062dc85f1c d8fce513e4f000a7 3b370cc603f67947 edecb3695ab88901 168a9207e80b0be4 c5d21c0e8c1cdb2d d62074dd39caefee 5c3ee000a94c97a4 10eb6d6da3230bbb 005a523a0efbc62b d8b9d06b50158c04 c6e4d72fbdddb0c2 7347ccc4bdcfde01 c1abf382ab9a79dd a9840be7d8930cd1 0b1c884e6c242ea7 35a357d7a0777087 597e24ccf265b201 53fc0e81b65d6289 449711e696e8856b e14f5fb01fd62b4b d8e11672a3a3b1db 3b55d761d507da7e ab1a2e6b18e6d75a 65f998d38467560a ee58129557cfa95b 0c82dcb07c43fbc5 6c311e61cde9bac2 ffa57569baf9bf6e 965d4e5fe7062419 c51784a57473b4e8 3f155e092f6b52f3 e59f50c4c70d9a74 70c217c03761b975 4d4d23ab3070858e 549b53ac34358c34 0d06660c7c30724e da766eaa5b580693 ec826f0e7b1daaa0 1ed12bdbbcbf09ee 6fce025768d766a2 747adf1ec178da7a 0a2a312988225650 bcb840f5c56fa5bf bc5cfc9ad5b36256 71005958fbe1190f a461751752fcbf14 5ffe557615057a8c f03a082e6a709bf3
660ac9QVtXkRxZC3,af91ec4a29b66636 e42795fcb72962a5 3cce43c811459438 67b2cd847669eb36 5b8181f009aea80e bd2cb4500fad728e 4c15e7abba063ac5 a846a2a5241e1180 2babc4b2f86c9376 1e5924dc546b82c1 da18e5119a944f0b d8f21e0f7becfcd5 3e76e71f9e7867a5 62be8c7f2a81aa9b 52bb41bec8c09542 db04fd609245f490 134c28fb359a5712 4816fc8b40866f56 519dbe8dfdf562d6 451bdb7494d19e87 cfc94035a9d35d98 47e796789fa62aea 0ccc2d9667763ea3 3b781361d56cf997 94677309cbe99d60 976b75fa962b2756 c5dbfca6e26a8afe 08223c553a39282b fe2019b909e8c27c b53b05e00029d6e6 d42b0cb96a5e7e0b 1015320d8c099a6f 41ad6e1ba0d270a8 d9edc0a497fc2111 14eee0fbc506b525 d35884ced800d06a 429347d76acdf6f0 bc87e854e9d4cbac 2d55b0b1146ea87c 31e1eba0b3f2ddcc b13875a2feaac33e 9ffda40885673b98 cf5beea58ecee566 920f37ddeba21964 8f13aa53489bdd4b 58b6e9559a970b83 b58da859ade720f9 ba48c237ca8f61e5 3d379c89e421a00d a88dd61f3010653a
YgHcM9MVbxKnxD1e,9c41fe789f98d702 53f9c8caeeb8111e 60e3b99111bd032b 1a62634394544781 ba78ad593ec3412d f6e8862b5885abb5 13f58fe9542bdb1a 0d7ad55085d6707c 615c73ea4c3bfd15 f84e2e12043c211c b8603925d28a8c99 c539e0661217b8eb 1f1da5d8632ab8c2 4a4334250369a151 e88641d6dcf18b42 08599550d5c047f8 11e458e1c81a3354 0e2b9895de4c5d3d 980b2961f059d52b 5008e2463b0c0526 84b84fe92cec800e b5b1c6b5f2300b14 f65e19416c15b1d8 5d18dc2a0fae10f2 7c402dba33ee185e 0a8d317b1a325bff 05e3e9e85fe9249c 0c8a36e283d43f46 4ef5ba70fa9baaef 23bc4a9372c16c12 a405298d62c9bf24 1736ea24d6cd586f bcc1cd1d0d27167e b24c44fc09c7d50b b171d8c7377e215a ce9e48f3885f1ec3 b090220bad181787 dd8cda247d79c1d8 edd48cd711d6155c c779ae604462a3e9 b958f0b79f8e0d8d bd12d7bcc12519b9 22fbd0f00d32c274 9549afb40f489d39 40ed78ce43ec237e 707b59ca6d01360f a600b6f20b068f91 94cce9ac398a8f4a 0c071f194ae1571a eb0f872be57f5c59
Fn8uGfYsaUS86ak6,c6ddc1fc25886253 e3f278c4400772bd efd1cbb4bff99da8 9d80c5569bb55f4d 1ebd6968953200ee 9328083d57dc2ecb 8ed055fba8c69bea b9982354b0f9b488 5d6fc47a7f0e1abe 6a254eaa5e3cbcaf 282c376762a9bce8 98d326ba81fe3f24 a3f003d075e3dd83 1b57e78ed4d89c93 138ebf716562699c 04b3c9d52d80b499 6f62d35257e7a261 f561c13076e6bf30 470c9b814c5f01db 38d86757951c36dc 44853116720cebf8 d384b46b93bf53b4 12c906df661153f3 ee49d0f90bd0642b 5a3a241e8b4685ea 67046e3c5492df3e 01c152e3cfa3ca08 2c01198e6a9e5dcf 03528664f8be42dd 61857fa438e615aa f9a1d76720a2fd92 0dda4d1a7224737a f6248730c66364a5 1a0fd0229092f93a 5fd350394c4e65a1 e4f46fcd4a67837f a19f89e720c8750e 340213a619c45f65 f52a1a8c5fa23746 4030be553978c72e a5b439f86471cead cec2129b96de2003 f3772bb5b115fd55 c1fef52077704ca1 017bb20f4533c6f4 29ce1d78b42644f2 1ddbc4e38fa8e39e 38f855dd404693b0 ea72d9308f78f43e 77591840de7e9360
u4hftjenWqHZoMep,d0a1eeeb46bda2ef 6159d0a9012f6b13 0cfabc56b1cd4816 bfc4346cd7fe091f c9021873c1f2511b 1a3daa8815cbd80e f7ed83d74c968bd4 b0896578a785ce44 57dc728ccb851c30 83b88c758270dcfe 144d5e7f963f9a97 4ecfd12428c444fa a5d6eab24555f6f7 876522acaad42825 7ab3158075b21fb5 7ad464454b711615 97a46a050c5dc1b0 23e1152a42ebb8e7 02709eef10e1323b b768599c1f054f05 0d504c98f156bcd5 05c78d063aa3fac7 1f845796f54adb5f ba2e904fd331d2b3 5b67de93680d2409 392a1302a737d219 b8e9fa3c7f8dcb0f 4fa9852537c3e9c8 5ffc4c0899a8903d 6c04beeb3a865021 135d74ac06619563 daf681681cb7c998 12655a595c93ecfc db22895286f55889 d470b5930e75f8f9 153431bef8abe73d 3d6b2e7dfeb7ebc5 234d4c9907defc22 269358ec4ea6324b 01f1e5d9bd1ac172 dff6f78c31970b7c 7c0b81289a241548 22dbbffaff5df3e7 6f2185599cc623f9 7117896eec2f5f49 4ed8df21d84d4a06 73efdd3cf36a7599 ed5446eef9aa6676 9f338b23aa1b5f26 056fbac54077345c
2Ysms04CH0JxFR7M,376b59a44a9b7fde 3926c43cd7703559 ff14cbd8d906719a 48fb9b26f3ab9085 d2e365d50fdcae55 cd8a55e63e6ab416 c10440227d3f8f0b 0749b0eac68ddfa2 a1ce355c874ba851 1a4ad9abea6976bf a1200d28ea7ff6a1 2021792912211cc8 2ec74c681dda0a47 96355630ee0146ab d8f086e366695a07 9b746cef1e3ebe28 831141431ca6022b d7383729fe99b54f a064dea47e77abff 1b7445be93bc8496 2b02246e85f7c8a6 866937840b197999 4eab8b78558b6cb7 c6342edd577e88f9 1dc44242cfaa7fcb d88cf31055f8f2f9 9e6898aa5a012ad4 900d5c304be8d54d bd6682a406529ea8 0f22c9c4901d844b ee087156d405e8e8 10209bc4e11d1cc8 82b6df508d564e1b 68e74309d8a6385d 4e5301cf299db73b 342f7a61dad3491e f6846fdf1f90700d 202bd3364ef28fc7 1448195cd00d4b27 df70afd1d20104c6 d031975a37e5ac2f df69fd4f86c59215 c57e284d60a66f9b ece3923204c9e704 e27b8a70862f28a9 411dc6eb2d3167f6 b609df63feb3c0cc fa0facc1035123dc 62a13657a4b082e3 19a1d10c2899e1f6
C87NmbDEECz55BdJ,1210ead0ad9cacdf d93f9fd25c34020e 985dc437fea08791 94c4ccd762aae19f 772bdac5eb711ff6 639d85039afd302d 503fa42b3135b07a d5481806b6e8dfde a2fe5220900a341a 8e27e0145ab2d9ee ae71662e1cd76c33 662fb14d306d3827 47d69ab911f7e876 3482673a7d6aceca e99c3d08c81feebd d05475ef80a2f145 88173b94e4a11f45 58c8bb4cda560a90 f4310a574a8537ff 8d368cec78617ab7 60da3b17af6c67c6 d53ed1b5ee04124b 5bee8aed3480d143 7c1fd27bf3023a09 312eb6d5e3c97fe5 deb926c50529931b 279578ee0d6e4bdd 24f65a1ed155d3f6 e0f567b0b56f901d f7ed30d20f573f74 65432a13087cd189 1e9ea56de22d93be 010db753a547e8e0 c110cd29cc7b359f 417baa5efb25467d 3659dd2ebec389b4 8ed58660d6fd9cf4 4f7deb15f656ddc1 9fbac46b92b90c40 47ad9f4098e9bc08 b18712228f460d08 ae56b61453ef8439 0e0847853dbaf1f8 e8772d389fb87794 df97de8881e4bd66 c2ad333ccb5de07c 3643cc950892fd0d 4113178497d9ec2a 5ec8d346ed6e0ec7 d8f703a75f728899
bTF8nFanljgh7MYg,495994dc327cbdd5 a2e5965b7fb44ba0 adb24f7adbef70ff 88c1ca26292dbdff 12f8eb8fc5bcf830 627ca4f7dc9fe638 33de3813f4dac961 070b67d8d87a7d16 1555a20631f724fe 6f9ecabf50905914 e1a509061db4365e 09e9fea66d9b18ed a37577e9aafbd972 1ef0d3d4bf13d4e5 8fccb5f577dc8cc3 f1a94922489fe1ae 1f9673dcc275ea7d 95d6e5ef0d0d0024 ab7e197209e40355 ffb293d728ad43a6 46c6e475960d796e 3b1daa74cc3b525b 45751ba9f5ef2a7b 2d4b67006c34f71e bc6fe8709b827527 f9595eb51bddab0d 8673e52d7a10e87d 5fe9106b02d139f8 2ca0f0115a814f4f 375fb68073264a28 df4cc9d2729061ae bcd89dcbf0a0b2d8 d89c99a188932fd2 c368b74637498b2c f1bbe3d9e267361a dd0cce72b634d4b1 33391d1721745898 c3f59d0988d07dbf d5b2e248c8ab0a76 e4273fa2690bf03d b09aa8fca0a0f7b0 5faef27030a49c23 9423fb317aa7ac25 42200a32b95167d3 6bf175b0c4443a31 fe47b644e71c6de6 74a3599988f4b548 3107fd245ff610d6 74a20d2d94d9964b fcb970e50a54e439
